nama_pengurus,nama_bank_sampah,alamat_bank_sampah,kecamatan,kelurahan,email,status
Tanti,Ricci,"Jalan Kemenangan, Jl. Kemenangan, Glodok, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Taman Sari,Glodok,ricciglodok@gmail.com,Aktif
Atika Saraya,Teratai,"Kantor Camat Tamansari, Jl. Kemukus No.2, RT.9/RW.7, Pinangsia, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11110, Indonesia",Taman Sari,Pinangsia,teratai02@gmail.com,Aktif
Nani Junegsih,Bang Jali,"Jalan Pinangsia I, Jl. Pinangsia I, Pinangsia, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11110, Indonesia",Taman Sari,Pinangsia,bangjali@gmail.com,Aktif
Fadlun Hedar,Fatahillah,"Jalan Keutamaan, Jl. Keutamaan, Krukut, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11140, Indonesia",Taman Sari,Krukut,fatahillah@gmail.com,Aktif
Ukon,Doyok Berkarya,"Jalan Kunir, Jl. Kunir, Pinangsia, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11110, Indonesia",Taman Sari,Pinangsia,berkaryadoyok@gmail.com,Aktif
Nunung Nurul Afiyah,Kenanga RW 01,"Krendang Selatan, Jl. Duri Utara 1 No.2, RT.2/RW.7, Duri Utara, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11270, Indonesia",Tambora,Krendang,kenangabanksampah@gmail.com,Aktif
Eksi,Seruni Kuning RW 06,"Jalan Krendang Selatan, Jl. Krendang Sel., Krendang, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tambora,Krendang,serunikuningbanksampah@gmail.com,Aktif
Asep Dadang Kosasih,Tulip,"Jalan Krendang Selatan Gang 2, Jl. Krendang Sel. Gg. 2, Krendang, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11260, Indonesia",Tambora,Krendang,kenangakrendang@gmail.com,Aktif
Agus,Agung 05,"Jalan Kesederhanaan, Jl. Kesederhanaan, Keagungan, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Taman Sari,Keagungan,agung05@gmail.com,Aktif
Didi rasidi,Delta,"Jalan Kampung Jawa Kebun Sayur, Jl. Kp. Jawa Kebun Sayur, Keagungan, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Taman Sari,Keagungan,bankdelta@gmail.com,Aktif
Hasan,LPS RW.03,"Jalan Taman Sari, Jl. Taman Sari, Maphar, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11160, Indonesia",Taman Sari,Maphar,lpsrw03@gmail.com,Aktif
Lolo,PKT 40,"Jakarta, Jakarta, Indonesia",Kembangan,Duri Kosambi,sutantojov@gmail.com,Aktif
Edwan,Glodok Jaya,"Glodok, Glodok, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Taman Sari,Glodok,bankglodokjaya@gmail.com,Aktif
Nuraini,Surya Alam,"Jalan Tambora VI, Jl. Tambora VI, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11220, Indonesia",Tambora,Tambora,suryaalam746@yahoo.com,Aktif
Lis,Mekar Bersemi,"Jalan Tambora IV, Jl. Tambora IV, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11220, Indonesia",Tambora,Tambora,mekarbersemi@yahoo.com,Aktif
Komarudin,Kedung,"Jalan Tambora III, Jl. Tambora III, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11220, Indonesia",Tambora,Tambora,kedungtambora@yahoo.com,Aktif
Khairudin,Sutra,"Jalan Tambora III Gang 7, Jl. Tambora III Gg. 7, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11220, Indonesia",Tambora,Tambora,sutra07@yahoo.com,Aktif
Darmoko,Bahtera,"Jalan Inspeksi Kali Grogol, Jl. Inspeksi Kali Grogol, Kemanggisan, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480, Indonesia",Palmerah,Palmerah,Bahtera29@gmail.com,Aktif
Safrudin,Karya Mandiri,"Jalan Kemanggisan Ilir II, Jl. Kemanggisan Ilir II, Kemanggisan, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480, Indonesia",Palmerah,Kemanggisan,KaryaMandiri@gmail.com,Aktif
Pak Agus Salim,Bs Terbus Kalideres Peduli Sampah,"Kalideres, Jl. Daan Mogot No.15, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11840, Indonesia",Kalideres,Kalideres,santiafiani45@gmail.com,Aktif
Pak Udin,Bs Komplek merpati rw10,"komplek Merpati, Jl. Merpati 1, RT.5/RW.20, Pegadungan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830, Indonesia",Kalideres,Pegadungan,komplekmerpati111@gmail.com,Aktif
Polak,Maphar Berseri,"Jalan Kebon Jeruk XVI, Jl. Kebon Jeruk XVI, Maphar, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11160, Indonesia",Taman Sari,Maphar,mapharberseri15@gmail.com,Aktif
Nurazis,Maphar Asri,"Jalan Kebon Jeruk VII, Jl. Kebon Jeruk VII, Maphar, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11160, Indonesia",Taman Sari,Maphar,mapharasri01@gmail.com,Aktif
Bu Atih,Kembang Sari,"Jalan Haji Nabet, Jl. H. Nabet, Kembangan Sel., Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610, Indonesia",Kembangan,Kembangan Selatan,bs.kembangsari09@gmail.com,Aktif
Pa Misan,Karya Peduli,"Jalan Meruya Selatan, Jl. Meruya Sel., Meruya Sel., Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kembangan,Meruya Selatan,bs.karyapeduli@gmail.com,Aktif
Mohammad Ilyas,Mubarak,"Jalan Kampung Jawa Malang, Jl. Kp. Jawa Malang, Keagungan, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Taman Sari,Keagungan,mubarak07@gmail.com,Aktif
Juhanda,Sejahtera,"Jalan Kesejahteraan, Jl. Kesejahteraan, Keagungan, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11130, Indonesia",Taman Sari,Keagungan,sejahtera08@gmail.com,Aktif
Budi,RW 04,"Jalan Kesederhanaan, Jl. Kesederhanaan, Keagungan, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Taman Sari,Keagungan,rukunwarga04@gmail.com,Aktif
Andri,Melati RW.01,"Jalan Mangga Besar, Jl. Mangga Besar, Tangki, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Taman Sari,Tangki,melati01@gmail.com,Aktif
Mulyadi,Biola RW.03,"Tangki Wood II, Tangki Wood II, Tangki, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11170, Indonesia",Taman Sari,Tangki,biolarw03@gmail.com,Aktif
Risdianto,Angklung RW.02,"Tangki Wood II, Tangki Wood II, Tangki, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11170, Indonesia",Taman Sari,Tangki,angklung02@gmail.com,Aktif
Yongki,Flamboyan RW 05,"Gang Badilah II, Gang Badilah II, Tangki, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11170, Indonesia",Taman Sari,Tangki,flamboyan05@gmail.com,Aktif
Agus,Suling RW 06,"Jalan Tangki 1, Jl. Tangki 1, Tangki, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11170, Indonesia",Taman Sari,Tangki,suling06@gmail.com,Aktif
Dedi,Anggrek RW 07,"Jalan Tangki 1, Jl. Tangki 1, Tangki, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11170, Indonesia",Taman Sari,Tangki,anggrek07@gmail.com,Aktif
Rusman,Tangki,"Jalan Mangga Besar, Jl. Mangga Besar, Tangki, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Taman Sari,Tangki,kelurahantangki@gmail.com,Aktif
Sudiyanto,Nusa Indah RW 09,"Jalan Kerajinan II, Jl. Kerajinan II, Keagungan, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11130, Indonesia",Taman Sari,Keagungan,nusaindah09@gmal.com,Aktif
Rukman,Anugrah,"Jalan Keadilan Raya Petak 20, Jl. Keadilan Raya Petak 20, Keagungan, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11130, Indonesia",Taman Sari,Keagungan,anugrah02@gmal.com,Aktif
Idham,Bank Sampah 01,"Jembatan Lima, Jemb. Lima, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tambora,Jembatan Lima,011.jembatanlima.jb@gmail.com,Aktif
Muhayat,Bank Sampah 03,"Jembatan Lima, Jemb. Lima, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tambora,Jembatan Lima,013.jembatanlima.jb@gmail.com,Aktif
Roby,Bank Sampah 04,"Jembatan Lima, Jemb. Lima, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tambora,Jembatan Lima,014.jembatanlima.jb@gmail.com,Aktif
M Nurjaman,Bank Sampah 05,"Jembatan Lima, Jemb. Lima, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tambora,Jembatan Lima,015.jembatanlima.jb@gmail.com,Aktif
Rodjali,Bank Sampah RW 06,"Jembatan Lima, Jemb. Lima, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tambora,Jembatan Lima,016.jembatanlima.jb@gmail.com,Aktif
Sofwan,Bank Sampah 07,"Jembatan Lima, Jemb. Lima, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tambora,Jembatan Lima,017.jembatanlima.jb@gmail.com,Aktif
Indradi,Bank Sampah 08,"Jembatan Lima, Jemb. Lima, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tambora,Jembatan Lima,018.jembatanlima.jb@gmail.com,Aktif
Gunawan,RW. 02,"Jalan Sasak II, Jl. Sasak II, Klp. Dua, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11550, Indonesia",Kebun Jeruk,Kelapa Dua,kosasihr@gmail.com,Aktif
Caseya,Caseya,"6°11'59.3'S 106°44'42.5'E, Jl. Jeruk Mas Bar. 2 No.9, Srengseng, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11630, Indonesia",Kembangan,Srengseng,caseya.chairul@gmail.com,Aktif
Heri Yulianto,Smandujaya,"Jalan Gajah Mada, Jl. Gajah Mada, Keagungan, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11130, Indonesia",Taman Sari,Keagungan,smandujaya2@gmail.com,Aktif
Resnita,Puskesmas Kampung Jaya,"Jalan Kampung Jawa Malang, Jl. Kp. Jawa Malang, Keagungan, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Taman Sari,Keagungan,puskesmaskaja@gmail.com,Aktif
mustikasinaga,RW.01 Jelambar,"Jelambar, Jelambar, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Grogol petamburan,Jelambar,banksampahjelambar.rw01@gmail.com,Aktif
Lianna Lie,Rw.02 Jelambar,"Jelambar, Jelambar, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Grogol petamburan,Jelambar,banksampahjelambar.rw02@gmail.com,Aktif
Hary Hartono,Seruni (RW.03 Jelambar),"Jalan Hadiah, Jl. Hadiah, Jelambar, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460, Indonesia",Grogol petamburan,Jelambar,banksampahjelambar.rw03@gmail.com,Aktif
Ninuk S,Satria (RW.04 Jelambar),"Jalan Satria I, Jl. Satria I, Jelambar, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460, Indonesia",Grogol petamburan,Jelambar,banksampahjelambar.rw04@gmail.com,Aktif
Rahmat Basuki,Maju Jaya (RW.05 Jelambar),"Jelambar, Jelambar, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Grogol petamburan,Jelambar,banksampahjelambar.rw05@gmail.com,Aktif
Djasrial,Rw.06 Jelambar,"Jalan Empang Bahagia Gang II, Jl. Empang Bahagia Gg. II, Jelambar, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460, Indonesia",Grogol petamburan,Jelambar,banksampahjelambar.rw06@gmail.com,Aktif
Susiana,Melati (RW.07 Jelambar),"Jalan Sukajaya 2, Jl. Sukajaya 2, Jelambar, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460, Indonesia",Grogol petamburan,Jelambar,banksampahjelambar.rw07@gmail.com,Aktif
Edi Beda,RW.08 Jelambar,"Jalan Utama Sakti Raya, Jl. Utama Sakti Raya, Wijaya Kusuma, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460, Indonesia",Grogol petamburan,Jelambar,banksampahjelambar.rw08@gmail.com,Aktif
Hariyanto,Melati,"Jalan Mangga Besar IX, Jl. Mangga Besar IX, Pinangsia, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Taman Sari,Pinangsia,melati01pinangsia@gmail.com,Aktif
H.Syaiful Bahri,Bank Sampah RW 01,"Angke, Angke, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tambora,Angke,angke.rw01.jb@gmail.com,Aktif
Pang Jemmy,Mawar,"Gang Pondok Tuak, Gg. Pd. Tuak, Pinangsia, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11110, Indonesia",Taman Sari,Pinangsia,mawar02@gmail.com,Aktif
Susanto,Flamboyan,"Jalan Mangga Dua I, Jl. Mangga Dua I, Pinangsia, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11110, Indonesia",Taman Sari,Pinangsia,flamboyan03@gmail.com,Aktif
Subianto,Dahlia,"Jalan Mangga Dua Raya, Jl. Mangga Dua Raya, Pinangsia, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Taman Sari,Pinangsia,dahlia04@gmail.com,Aktif
Fenlung Sulaiman,Anggrek,"Jalan Pinangsia I, Jl. Pinangsia I, Pinangsia, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11110, Indonesia",Taman Sari,Pinangsia,anggrek05@gmail.com,Aktif
Firmansyah,Anyelir,"Jalan Lada Dalam, Jl. Lada Dalam, Pinangsia, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11110, Indonesia",Taman Sari,Pinangsia,anyelir06@gmail.com,Aktif
Syamsudin,Asoka,"Jalan Teh, Jl. Teh, Pinangsia, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11110, Indonesia",Taman Sari,Pinangsia,asoka07@gmail.com,Aktif
Antawira Atmaja,RW.04 Wijaya Kusuma,"Wijaya Kusuma, Wijaya Kusuma, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Grogol petamburan,Wijaya Kusuma,banksampah.wk04@gmail.com,Aktif
Herman Widjaya,Rw.01 Wijaya Kusuma,"Wijaya Kusuma, Wijaya Kusuma, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Grogol petamburan,Wijaya Kusuma,banksampah.wk01@gmail.com,Aktif
Husen Samadi,RW. 09 Jelambar,"Jelambar, Jelambar, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Grogol petamburan,Jelambar,banksampahjelambar.rw.09@gmail.com,Aktif
Yulius,Bank Sampah RW 02 Angke,"Angke, Angke, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tambora,Angke,angke.rw02.jb@gmail.com,Aktif
Widodo Bendoljoyo,RW.010 Jelambar,"Jelambar, Jelambar, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Grogol petamburan,Jelambar,banksampahjelambar.rw010@gmail.com,Aktif
Bambang Sugianto,Anggrek RW.011 Jelambar,"Jalan Latumenten 3 Barat, Jl. Latumenten 3 Barat, Jelambar, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460, Indonesia",Grogol petamburan,Jelambar,banksampahjelambar.rw011@gmail.com,Aktif
Tan Tjoen Bie,Bank Sampah RW 04,"Angke, Angke, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tambora,Angke,angke.rw04.jb@gmail.com,Aktif
Marjono,Bank Sampah RW 05,"Angke, Angke, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tambora,Angke,angke.rw05.jb@gmail.com,Aktif
Rini,Sumber Rezeki,"Jl. Komp. Dpr No.100, Jl. Komp. Dpr No.100, Meruya Sel., Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610, Indonesia",Kembangan,Meruya Selatan,bs.sumberrezeki02@gmail.com,Aktif
Pujiono,Surya Mandiri,"Meruya Selatan, Meruya Sel., Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kembangan,Meruya Selatan,bs.suryamandiri01@gmail.com,Aktif
Sudarmanto,Blink Jakarta,"Jalan Semanan Raya, Jl. Semanan Raya, Semanan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11850, Indonesia",Kalideres,Semanan,sudarmantocler@gmail.com,Aktif
Willy jong,RW.06,"Jalan Angke Jaya VIII, Jl. Angke Jaya VIII, Angke, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11330, Indonesia",Tambora,Angke,angke.06@yahoo.com,Aktif
Dodi sunandar,RW.07,"Jalan Pangeran Tubagus Angke, Jl. Pangeran Tubagus Angke, Angke, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11330, Indonesia",Tambora,Angke,rw07kelurahanangke@gmail.com,Aktif
Boenang,RW.08,"Jalan Pada Mulya II, Jl. Pada Mulya II, Angke, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11330, Indonesia",Tambora,Angke,rw08kel.angke@yahoo.com,Aktif
H. Sarimin,RW.09,"Jalan Pada Mulya, Jl. Pada Mulya, Angke, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11330, Indonesia",Tambora,Angke,angke.09@yahoo.com,Aktif
Syaefullah,RW.010,"Jalan Angke Barat, Jl. Angke Barat, Angke, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11330, Indonesia",Tambora,Angke,angkerw010@yahoo.com,Aktif
Kasie Ppsu,Palem,"Rawa Buaya, Rw. Buaya, Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Cengkareng,Rawa Buaya,buayapalem@gmail.com,Aktif
Mirah setiawati,Sri Rezeki,"Jalan Z Gang Amir, Jl. Z Gg. Amir, Kota Bambu Utara, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11420, Indonesia",Palmerah,Jati Pulo,SriRezeki@gmail.com,Aktif
Rukiyati,Sri Kandi,"Jalan Semangka III, Jl. Semangka III, Jatipulo, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Palmerah,Jati Pulo,SriKandi@yahoo.com,Aktif
Sri Maulina,Berkah Sukma,"Jalan Turi, Jl. Turi, Jatipulo, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11430, Indonesia",Palmerah,Jati Pulo,BerkahSukma@gmail.com,Aktif
Asna,Taman Juang,"Jalan Semangka Raya, Jl. Semangka Raya, Jatipulo, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11430, Indonesia",Palmerah,Jati Pulo,TamanJuang@gmail.com,Aktif
Darlina,Mawar Ceria,"Jalan Semangka II, Jl. Semangka II, Jatipulo, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Palmerah,Jati Pulo,MawarCeria@yahoo.com,Aktif
ita Rusmita,Anggrek indah,"Jalan Tomang Pulo Gang VIII, Jl. Tomang Pulo Gg. VIII, Jatipulo, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11430, Indonesia",Palmerah,Jati Pulo,AnggrekIndah@yahoo.com,Aktif
Yuni Sarofah,Kantor Kelurahan Slipi,"Jalan Ks. Tubun 3 Dalam, Jl. Ks. Tubun 3 Dalam, Slipi, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410, Indonesia",Palmerah,Slipi,KantorLurahSlipi@yahoo.com,Aktif
Yudianto,Bank Sampah Amarilis Unit RW 06,"6°09'20.5'S 106°46'40.4'E, Jl. Indraloka II No.90, Wijaya Kusuma, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460, Indonesia",Grogol petamburan,Wijaya Kusuma,banksampahamarilis@gmail.com,Aktif
Bahtiar,Seruni Rw 02,"Jalan Mangga Besar IV, Jl. Mangga Besar IV, Taman Sari, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11150, Indonesia",Tamansari,Taman Sari,serunirw02@gmail.com,Aktif
Nursah,Sari Jaya Raya,"Jalan Mangga Besar IV E, Jl. Mangga Besar IV E, Taman Sari, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tamansari,Taman Sari,sarijayaraya@gmail.com,Pending
Yoki,Anyelir RW 03,"Jalan Taman Sari, Jl. Taman Sari, Taman Sari, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tamansari,Taman Sari,anyelirrw03@gmail.com,Pending
Jumhana,Purwajaya RW 08,"Jalan Taman Sari Raya, Jl. Taman Sari Raya, Taman Sari, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11150, Indonesia",Tamansari,Taman Sari,purwajayarw08@gmail.com,Pending
Barce,Taman Sari Delapan RW 06,"Jalan Taman Sari, Jl. Taman Sari, Taman Sari, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tamansari,Taman Sari,tamansaridelapan@gmail.com,Aktif
Amirullah,Serdadu Katar RW 07,"Jalan Mangga Besar IV, Jl. Mangga Besar IV, Taman Sari, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11150, Indonesia",Tamansari,Taman Sari,serdadukatar07@gmail.com,Pending
Wahid,Damar RW 01,"Jalan Taman Sari, Jl. Taman Sari, Taman Sari, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tamansari,Taman Sari,damar01@gmail.com,Aktif
Surahman,Soka RW 04,"Jalan Mangga Besar VI, Jl. Mangga Besar VI, Taman Sari, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11150, Indonesia",Tamansari,Taman Sari,sokarw04@gmail.com,Pending
Budi Warasto,Katalia,"Jalan G.2, Jl. G.2, Slipi, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410, Indonesia",Palmerah,Slipi,Katalia29@yahoo.com,Aktif
Yulman,Kemuning,"Jalan G1, Jl. G1, Slipi, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410, Indonesia",Palmerah,Slipi,Kemuning@gmail.com,Aktif
Fahrulli,Harmoni,"Kav 55-56 Jalan Aipda K.S Tubun, Kav 55-56 Jl. Aipda K.S Tubun, Petamburan, Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10260, Indonesia",Tanah Abang,Slipi,Harmoni@yahoo.com,Aktif
Amshory,Melati,"Jalan Slipi Cabang 1, Jl. Slipi Cabang 1, Slipi, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410, Indonesia",Palmerah,Slipi,Melati@gmail.com,Aktif
Alfisanah,Untung Bersama,"Jalan X-III Aipda Ks. Tubun III, Jl. X-III Aipda Ks. Tubun III, Slipi, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410, Indonesia",Palmerah,Slipi,UntungBersama@yahoo.com,Aktif
Arifin,UPK Anggreini,"Jalan Inspeksi Kali Grogol, Jl. Inspeksi Kali Grogol, Kemanggisan, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480, Indonesia",Palmerah,Kemanggisan,UpkAnggreini@gmail.com,Aktif
Tambar,Rejeki Barokah,"Jalan Keutamaan, Jl. Keutamaan, Krukut, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11140, Indonesia",Tamansari,Krukut,rejekibarokah@gmail.com,Pending
Kusnadi,Bale Desa Kota,"Jalan Keutamaan Dalam, Jl. Keutamaan Dalam, Krukut, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11140, Indonesia",Tamansari,Krukut,baledesakota@gmail.com,Pending
Topik,Agung 06,"Jalan Keamanan, Jl. Keamanan, Keagungan, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tamansari,Keagungan,agung06@gmail.com,Pending
Oman,Weti Bersemi,"Jalan Kesederhanaan, Jl. Kesederhanaan, Keagungan, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tamansari,Keagungan,wetibersemi03@gmail.com,Pending
Pram,Mawar RW 04,"Jalan Badila I, Jl. Badila I, Tangki, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11170, Indonesia",Tamansari,Tangki,mawarrw04@gmail.com,Pending
Monic,Gracia,"Jl. Srengseng Raya No.53, Jl. Srengseng Raya No.53, Srengseng, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11630, Indonesia",Kembangan,Srengseng,bs.gracia89@gmail.com,Aktif
Dadang,Quick Print,"Jl. Srengseng Raya No.58, Jl. Srengseng Raya No.58, Srengseng, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11630, Indonesia",Kembangan,Srengseng,bs.quickprint@gmail.com,Aktif
Ida Chairani,Sawarna RW 04,"6°13'19.4'S 106°44'07.7'E, Jl. Komp. Dki Joglo Blok s No.3, Joglo, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11640, Indonesia",Kembangan,Joglo,idachairani10@gmail.com,Pending
Ida Chairani,sawarna RW 04,"6°13'19.3'S 106°44'07.9'E, Jl. Komp. Dki Joglo Blok s No.3, Joglo, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11640, Indonesia",Kembangan,Joglo,idachairani59@gmail.com,Pending
"Sriyarti, SE",Pasar Jembatan Besi,"Jalan Jembatan Besi II, Jl. Jemb. Besi II, Jemb. Besi, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11320, Indonesia",Tambora,Jembatan Besi,jembatanbesi17@gmail.com,Aktif
