nama,npsn,bentuk_pendidikan,alamat_jalan,desa_kelurahan,kode_wilayah,kode_pos,latitude,longitude,nomor_telepon,nomor_fax,email,website,status_sek
TK K Smart Wisdom School,20112479,1,PERUM.TAMAN SURYA II BLOK B1 NO.7-9,Pegadungan,16208,,0,0,,,,,2
TK K Smart Wisdon,20112478,1,PERUM.TAMAN SURYA II BLOK B1 NO.7-9,Pegadungan,16208,,0,0,,,,,1
TK K3I,20279831,1,JL. SERDANG RAYA NO. 30 RT. 02/04,Serdang,16006,,0,0,,,,,2
TK Kairos Gracia,20111006,1,CITRA GARDEN II BLOK H4 NO.6,Kalideres,16208,,0,0,021-5445113,215445105,kairosgracia@gmail.com,http://kairosgracia.sch.id,2
TK Kalam Kudus,20111007,1,JL. TANGKI LIO TIMUR NO. 48-49,Tangki,16206,11170,0,0,021-6281244,216120918,skkkj1@cbn.net.id,,2
TK Kalam Kudus II,20111008,1,JL. KOMP. GREEN GARDEN B IV/1,Kedoya Utara,16202,11520,0,0,021-5827066,5813850,sk3_jkt@yahoo.com,,2
TK Kalam Kudus III,20111009,1,JL. KOSAMBI BARU BLOK D4/I,Duri Kosambi,16207,11750,-6.169006,106.717021,021-5411640,5447858,tk.kalamkudus3@gmail.com,http://skkkjakarta.sch.id,2
TK Kalpataru,69830842,1,Jl. Pongtiku No. 1,Bintaro,16304,12330,0,0,021-7340944,7340944,,,2
TK Kalpataru,69785720,1,PONGTLIKU,Bintaro,16304,,0,0,,,,,2
TK Kalpataru,20111529,1,JL. PONTIKU BINTARO,Bintaro,16304,,0,0,,,,,2
TK Kanaan Global School,20111010,1,JL. BOULEVARD 12 TAMAN SURYA III,Pegadungan,16208,,0,0,021-6197205,54372047,,,2
TK Kancil,20111994,1,JL. CENTEX,Ciracas,16402,,0,0,,,,,2
TK Kancil I,20109878,1,JL. CENTEX  RT 08/02 CIRACAS JAKARTA TIMUR,,16402,13740,0,0,021-87706145,,tkkancil01@gmail.com,,2
TK Kancil II,20109879,1,JALAN CIBUBUR VICIRACAS,Cibubur,16402,13720,-6.356022,106.88059,021-8712018,,tkkancildua@gmail.com,,2
TK Kancil II,20111995,1,Jl. Cibubur VI,Cibubur,16402,,0,0,,,,,2
TK Karang Mekar,20111530,1,JL. KARANG POLA IV NO. 10,Jati Padang,16302,,0,0,,,,,2
TK Karang Mekar,69830780,1,KARANG POLA,Jati Padang,16302,,0,0,,,,,2
TK Kartiak X-15,69830896,1,CENDRAWASIH RAYA N0 18,Kebayoran Lama Selatan,16305,,0,0,,,,,2
TK Kartika,20111996,1,JL. ASRAMA GUPUSMU P. GEBANG,Pulo Gebang,16408,,0,0,,,,,2
TK Kartika IV-1,20109986,1,JL. CHANDRACA CIJANTUNG III,Baru,16401,,0,0,,,,,2
TK Kartika IX - 4,20111531,1,JL. KOMPLEK KOSTRAD,Petukangan Utara,16304,,0,0,,,,,2
TK Kartika IX-1,69789207,1,JL.DARMA PUTRA RAYA,Kebayoran Lama Selatan,16305,,0,0,,,,,2
TK Kartika IX-18,20109935,1,JL. SURATMO ASRAMA YONKAV.1 PASAR REBO JAKTIM,Kalisari,16401,13790,-6.3375,106.844,021-8716779,,tkkartika918@yahoo.com,,2
TK Kartika IX-4,69830843,1,Komplek Kostrad RT. 002/06,Petukangan Utara,16304,12260,-6.219572,106.745996,0821-11419250,,marlakanthirahayu70@gmail.com,,2
TK Kartika IX-4,69785731,1,PESANGGRAHAN,Petukangan Utara,16304,,0,0,,,,,2
TK Kartika IX-I,20111540,1,JL. DARMA PUTRA RAYA,Kebayoran Lama Selatan,16305,12240,0,0,021-72800535,,tkkartikakostrad91@gmail.com,,2
TK Kartika Kencana,20109753,1,JLN. RAYA BEKASI KM. 23/H. A. NO. 34 RT 001/02,,16408,13910,0,0,,,,,2
TK Kartika Kencana,20111997,1,Jl. Raya Bekasi Km. 23,Cakung Barat,16408,,0,0,,,,,2
TK Kartika Sari,69795402,1,Jl. Danau Indah 2A,Sunter Jaya,16103,14350,0,0,021-44347477,,,,2
TK Kartika Sari,20110683,1,JL. DANAU INDAH 2A,Sunter Jaya,16103,,0,0,,,,,2
TK Kartika VIII - 29,20111998,1,JL. KESATRIAAN X / RT. 011. 03,Kebon Manggis,16410,,0,0,,,,,2
TK Kartika VIII - 32,69857027,1,LAGOA KANAL KOMPLEK KOTERM,Kebon Bawang,16103,14320,0,0,021-94377145,,anikartika8@gmail.com,,2
TK Kartika VIII - 5,20112001,1,JL. KESATRIAN RAYA NO.2A,Kebon Manggis,16410,13150,0,0,021-8583385,,saptamarga1954@gmail.com,,2
TK Kartika VIII 28,69857139,1,ASR. YON AIR JL. DARMA RAYA,Semper Barat,16106,14130,0,0,0818-07330464,,,,2
TK Kartika VIII 36,20111734,1,JL. KOMPLEKS DITKESAD,Cililitan,16405,13640,0,0,,,,,2
TK Kartika VIII 38,69830990,1,PENGADENGAN SELATAN RAYA,Pengadegan,16308,12770,0,0,0882-11778085,,,,2
TK Kartika VIII-1,20109987,1,JL. ANYELIR CIJANTUNG II,Gedong,16401,13760,0,0,021-29841804,,,,2
TK Kartika VIII-13,69830724,1,Jl. Utama Mess PA. Zeni AD,Srengseng Sawah,16301,,0,0,0812-97507978,,,,2
TK Kartika VIII-13,69789132,1,MESS PA ZENI AD,Srengseng Sawah,16301,,0,0,,,,,2
TK Kartika VIII-14,69832176,1,Komp. Yonhub,Kelapa Dua,16202,,0,0,,,,,2
TK Kartika VIII-18,20109750,1,JL. RAYA BEKASI CAKUNG BARAT,,16408,13910,0,0,,,,,2
TK Kartika VIII-18,20112002,1,Jl. Raya Bekai Km. 23,Cakung Barat,16408,,0,0,,,,,2
TK Kartika VIII-2,20111730,1,JL. RANTAI MAS BULAK RANTAI,Kampung Tengah,16405,13540,0,0,,,,,2
TK Kartika VIII-22,20109826,1,ASRAMA GUPUSMU III PULO GEBANG,,16408,13950,0,0,,,,,2
TK Kartika VIII-27,69820273,1,Jl. Tanah Tinggi Barat No.5,Bungur,16003,,0,0,,,,,2
TK Kartika VIII-28,69795566,1,Jl. Darma Raya,Semper Barat,16106,,0,0,,,,,2
TK Kartika VIII-29,20109637,1,JL. KESATRIAN  X NO.20 MATRAMAN,,16410,13150,-6.2059,106.8499,0838-78073083,,,,2
TK Kartika VIII-3,69830718,1,Jl. Duku No. 99 Mabad I,Srengseng Sawah,16301,,0,0,,,,,2
TK Kartika VIII-32,69795488,1,Jl. Lagoa Kanal Komp. Koterm,Kebon Bawang,16103,,0,0,,,,,2
TK Kartika VIII-32,20110684,1,JL. LAGOA KANAL,Kebon Bawang,16103,,0,0,,,,,2
TK Kartika VIII-36,20110087,1,KOMPLEK DITKESAD CILILITAN,Cililitan,16405,,0,0,,,,,2
TK Kartika VIII38,69785804,1,PENGADEGAN SELATAN RAYA,Pengadegan,16308,,0,0,,,,,2
TK Kartika VIII-40,20109602,1,JL. RAYA CEGER NO.20 KOMP. PUSPOM AD,Ceger,16403,13820,-6.313526,106.892134,0813-17973199,,tkkartikavIII40@gmail.com,,2
TK Kartika VIII-5,20109635,1,JL.KESATRIAN RAYA NO. 2A BERLAND,,16410,,0,0,,,,,2
TK Kartika VIII-7,20112003,1,JL. KESATRIAAN II NO. 1,Kebon Manggis,16410,,0,0,,,,,2
TK Kartika VIII-7,20109636,1,Jl. Kesatrian Raya II no.1 Matraman,,16410,,0,0,,,,,2
TK Kartika VIII-8,20112014,1,JL. RAYA BOGOR KM. 27 KOMPLEK ZENI  AD,Pekayon,16401,13710,0,0,,,ica.azalia@gmail.com,,2
TK Kartika VIII-9,69830747,1,Jl. Raya Lenteng Agung No. 16 RT. 002/010,Lenteng Agung,16301,12610,0,0,021-78889949,,,,2
TK Kartika VIII-9,69785596,1,RAYA LENTENG AGUNG,Lenteng Agung,16301,,0,0,,,,,2
TK Kartika X - 1,20110216,1,JALAN JEND. URIP SUMOHARJO NO. 12 JATINEGARA,Jatinegara,16406,,0,0,,,,,2
TK Kartika X 12,20111731,1,JL. KOMPLEKS PUSDIKES,Kramat Jati,16405,,0,0,,,,,2
TK Kartika X 18,20111732,1,JL. KODAM JAYA CILILITAN II,Kramat Jati,16405,,0,0,,,,,2
TK Kartika X 2,20111532,1,JL. KODAM BINTARO,Pesanggrahan,16304,,0,0,,,,,2
TK Kartika X-1,20112004,1,JL. JENDRAL URIP NO. 12,Bali Mester,16406,,0,0,,,,,2
TK Kartika X-11,69830846,1,JL. PRAJURIT NO.1,Pesanggrahan,16304,,-6.25913,106.755734,021-7095230,,tkkartikax-11@yahoo.co.id,,2
TK Kartika X-12,20109988,1,ASRAMA YONKAV 7 CIJANTUNG III,Baru,16401,,0,0,021-8701442,,tkkartikax12.yonkav7@gmail.com,,2
TK Kartika X-12,20112005,1,JL. YON KAV 7,Baru,16401,,0,0,,,,,2
TK Kartika X-12,20110088,1,KOMPLEK PUSDIKKES TNI-AD KRAMAT JATI,Kramat Jati,16405,,0,0,,,,,2
TK Kartika X-13,20110170,1,JL. TEMU LAWAK IV K.P.A.D CIBUBUR,Cibubur,16402,13720,0,0,021-87756862,,,,2
TK Kartika X-14,20111011,1,JL. DAAN MOGOT KOMP. KODAM JAYA,Kalideres,16208,11840,0,0,,,,,2
TK Kartika X-15,69830876,1,Jl. Cendrawasih Komplek Tanah Kusir,Pondok Pinang,16305,12240,0,0,021-7294913,,megawati.hala84@gmail.com,,2
TK Kartika X-15,69786005,1,CENDRAWASIH RAYA NO.18,Kebayoran Lama Selatan,16305,,0,0,,,,,2
TK Kartika X-15,20111533,1,JL. KOMP. KODAM TANAH KUSIR,Kebayoran Lama Selatan,16305,,0,0,,,,,2
TK Kartika X-16,20111534,1,JL. PONDOK JAYA VIII/I,Pela Mampang,16307,,0,0,,,,,2
TK Kartika X-16,69789238,1,PONDOK JAYA VIII/I,Pela Mampang,16307,,0,0,,,,,2
TK Kartika X-16,69830953,1,PONDOK JAYA VIII,Pela Mampang,16307,,0,0,,,,,2
TK Kartika X-17,20110309,1,JL. BAZOKA KOMPLEK KODAM JAYA RT 009/06 JATIWARINGIN CIPINANG MELAYU,Makasar,16404,13620,-6.2513,106.9144,021-86608625,,tkkartikax17@gmail.com,,2
TK Kartika X-17,20112006,1,Jl. Komp. Kodam Jatiwaringin,Cipinang Melayu,16404,,0,0,,,,,2
TK Kartika X-18,20110089,1,KOMPLEK KODAM JAYA CILILITAN II,Tengah,16405,,0,0,,,,,2
TK Kartika X-19,20109961,1,JL. PENDIDIKAN II ASRAMA DENZIPUR 3,Cijantung,16401,13770,-6.317,106.8606,021-8400595,,,,2
TK Kartika X-2,69830845,1,RAYA BINTARO PERMAI NO. 53,Pesanggrahan,16304,12320,0,0,021-73692703,2173692703,yulindawatireny@yahoo.com,,2
TK Kartika X-2,69785725,1,BINTARO PERMAI NO.53,Pesanggrahan,16304,,0,0,,,,,2
TK Kartika X-3,20112007,1,Jl. Temu Ireng KPAD,Cibubur,16402,,0,0,,,,,2
TK Kartika X-3,20110140,1,JLN. TEMU IRENG RT 001/07 KPAD CIBUBUR,Cibubur,16402,13720,0,0,,,,,2
TK Kartika X-4,20112008,1,JL. KESATRIAAN IX RT. 017/03,Kebon Manggis,16410,13150,0,0,,,,,2
TK Kartika X-4,20109634,1,Jl. Kesatrian IX No. 2 RT 017/03,,16410,,0,0,,,,,2
TK Kartika X-5,20109989,1,JL. RAYA CONDET NO. 55,Gedong,16401,13760,-6.2977,106.8545,021-71359748,,tkkartikax5.rindam@gmail.com,,2
TK Kartika X-6,20109974,1,JL JAYASAKTI II ASR. BRIGIF 1/PIK JAYA SAKTI,Kalisari,16401,13790,-6.3379,106.8612,,,tkkartikax6brigif1pikjs@gmail.com,,2
TK Kartika X-6,20112009,1,JL. KOMP BRIGIF 1 PEKAYON,Kalisari,16401,,0,0,,,,,2
TK Kartika X-7,20112010,1,JL. ASRAMA YONIF MEKANIS 201/JY,Pekayon,16401,13710,-6.3525,106.8652,021-85330090,,kartikax7pekayon@gmail.com,,2
TK Kartika Xi 31,20111733,1,JL. RAYA BOGOR NO.2,Kramat Jati,16405,,0,0,,,,,2
TK Kartika Xi-1,20112011,1,JL. ANYELIR C. II,Gedong,16401,,0,0,,,,,2
TK Kartika Xi-13,20111536,1,JL. UTAMA MESS PA ZENI AD,Srengseng Sawah,16301,12640,0,0,0812-97507978,,,,2
TK Kartika Xi-14,20111013,1,KOMP. YON HUB KELAPA DUA,Kelapa Dua,16202,,0,0,,,,,2
TK Kartika Xi-27,20110447,1,JL. TANAH TINGGI BARAT NO. 5,Kelurahan Bungur,16003,,0,0,,,,,2
TK Kartika Xi-2VIII-2,20110090,1,PER. AD JL. RANTAI EMAS IV BULAK RANTAI,Tengah,16405,,0,0,,,,,2
TK Kartika Xi-3,20111537,1,Jl. Duku No. 99 Komplek Mabad I,Srengseng Sawah,16301,,0,0,,,,,2
TK Kartika Xi-38,20111538,1,JL. PENGADENGAN SELATAN RAYA,Pengadegan,16308,,0,0,,,,,2
TK Kartika Xi-40,20112013,1,JL. RAYA CEGER NO. 20 PUSPOM,Ceger,16403,,0,0,,,,,2
TK Kartika Xi-9,20111539,1,JL. RAYA DEPOK,Lenteng Agung,16301,,0,0,,,,,2
TK Kartika X-II,20111535,1,JL. PRAJURIT PESANGGRAHAN,Pesanggrahan,16304,,0,0,,,,,2
TK Kartika XII-18,20112015,1,JL. SURATMA ASRAMA YONKAV 1,Kalisari,16401,,0,0,,,,,2
TK Kartika XIII-6,20112016,1,JL. TEMU LAWAK IV KPAD,Cibubur,16402,,0,0,,,,,2
TK Kartika Xv-1,20109956,1,"JL CANDRACA 1, CIJANTUNG III",Baru,16401,13780,-6.3223,106.8471,,,tkkartikaxv1.kopassus@gmail.com,,2
TK Kartika Xv-6,20110010,1,JL. SATYA 4 NO. 1 KOMPLEK KOPASSUS,Baru,16401,13780,-6.323576,106.844645,021-8414149,,kartikalimabelasenam@gmail.com,,2
TK Kartika Xvi-1,20112017,1,JL. CANDRACA CIJANTUNG III,Baru,16401,,0,0,,,,,2
TK Kartika Xvi-6,20112018,1,JL. SATYA A KOPASSUS,Baru,16401,,0,0,,,,,2
TK Kartini,20111014,1,JL. MESJID AL ANWAR NO. 13,Sukabumi Utara,16202,11540,-6.210873,106.782581,021-5332968,,tkkartini1979@gmail.com,,2
TK Kartini,69790683,1,"Sayur Asam, No. 14 Rt. 009/06",Joglo,16201,11640,0,0,021-5859439,,,,2
TK Kartini,20110449,1,JL. KARTINI DALAM VII NO. 18,Kartini,16007,,0,0,0813-15674276,,,,2
TK Kartini,69866579,1,Jl. Sayur Asem Rt. 009/06 No. 14,Joglo,16201,,0,0,,,,,2
TK Kartini,69931948,1,Jalan H. Nawi No. 19,Bintaro,16304,,0,0,,,,,2
TK Kartini,20110141,1,JL. MUALIM AMINUDIN RT 06/014 NO. 7 CIBUBUR,Cibubur,16402,13720,0,0,,,,,2
TK Kartini,20110448,1,JL. KALI BARU TIMUR V/1,Kelurahan Utan Panjang,16006,,0,0,,,,,2
TK Kartini,20112020,1,JL. SULAIMAN NO 41,Cipinang Melayu,16404,,0,0,,,,,2
TK Kartini,20112019,1,Jl. Kesadaran No. 17,Cipinang Muara,16406,,0,0,,,,,2
TK Kartini,20110046,1,JL. KESADARAN IV NO. 17 RT 10/01 CIPINANG MUARA,Cipinang Muara,16406,,0,0,,,,,2
TK Kartini,69820382,1,Jl. Kalibaru Timur V No.1,Utan Panjang,16006,,0,0,,,,,2
TK Kartini II,69785935,1,JL.H.NAWI NO.19,Bintaro,16304,,0,0,,,,,2
TK Kartini Majasari,20110190,1,JL. CIPINANG PULO MAJA RT 03/010 NO. 24,Cipinang Besar Utara,16406,13410,-6.218567,106.880649,021-29360420,,suprihatin32@yahoo.com,,2
TK Kartini Mayasari,20112021,1,JL. CIPINANG PULO MAJA NO. 30,Cipinang Besar Utara,16406,,0,0,,,,,2
TK Kartini Otista,20110217,1,JL. OTO ISKANDAR DINATA NO. 64 A,Jatinegara,16406,13330,0,0,021-8192882,,nursyah02@gmail.com,,2
TK Kartini Otista,20112022,1,Jl. Otista Gg. Sensus I/3,Bidara Cina,16406,,0,0,,,,,2
TK Karunia,20112023,1,JL. DURI BULAN,Batu Ampar,16405,13520,0,0,021-80880868,,,,2
TK Karunia,69908067,1,Jl. Pedongkelan Belakang RT.002/004 No.40,Cengkareng Timur,16207,11730,-6.142134,106.740804,0813-16933094,,,,2
TK Karunia,20110091,1,JALAN DURI BULAN RT. 01/14 NO. 74 D BATU AMPAR,Batu Ampar,16405,,0,0,,,,,2
TK Karunia Illahi,20109880,1,JL. RAYA CENTEX NO.71  CIRACAS,,16402,,0,0,,,,,2
TK Karya Kasih,69856985,1,SUNTER PARADISE 16 BLOK L/7,Sunter Agung,16103,,0,0,,,,,2
TK Karya Kasih,20110685,1,JL. ST. PARADIS BLOK L NO. 7,Sunter Agung,16103,,0,0,,,,,2
TK Karya Kasih,69795469,1,Jl. Paradise 16 Blok L/7,Sungai Bambu,16103,,0,0,,,,,2
TK Karya Penebus,20110686,1,JL. PADEMANGAN VIRT.5/10,Pademangan Timur,16102,,0,0,,,,,2
TK Karyawan Putra,69830918,1,Jl. Kampus Jaya No. 30 RT. 007/011,Grogol Selatan,16305,,0,0,,,,,2
TK Karyawan Putra,20111541,1,JL. KAMPUS JAYA NO. 30,Kebayoran Lama Selatan,16305,,0,0,,,,,2
TK Karyawan Putra,69785887,1,KAMPUS JAYA NO. 30 RT 007/011,Grogol Selatan,16305,,0,0,,,,,2
TK Kasih Anada IV,20110687,1,JL. ASR. DINAS KEBERSIHAN,Semper Barat,16106,,0,0,,,,,2
TK Kasih Ananda,69785930,1,JL.MERAK II BLOK N,Bintaro,16304,,0,0,,,,,2
TK Kasih Ananda II,69795458,1,Jl. Pinang Sari,Rorotan,16106,,0,0,,,,,2
TK Kasih Ananda III,20110689,1,JL. PINANG SARI V GREEN GARDEN,Rorotan,16106,,0,0,,,,,2
TK Kasih Ananda IV,69795735,1,Asr. Dinas Kebersihan DKI,Semper Barat,16106,,0,0,,,,,2
TK Kasih Ananda V,20109796,1,PERUMAHAN PENGGILINGAN ELOK BLOK D V NO 8-9 CAKUNG 13940,Penggilingan,16408,13940,-6.1981,106.8658,021-48703141,,,,2
TK Kasih Ananda V,20112024,1,Jl. Aneka Elok,Penggilingan,16408,,0,0,,,,,2
TK Kasih Ananda Vi,20112025,1,Jl.Raya Penggilingan,Penggilingan,16408,,0,0,,,,,2
TK Kasih Ananda VII,20111542,1,JL. BURUNG MERAK,Bintaro,16304,,0,0,,,,,2
TK Kasih Angela,69856992,1,"JL. ANCOL SELATAN II, NO. 45",Sunter Agung,16103,14350,0,0,021-6411769,,tkasihangela@gmail.com,,2
TK Kasih Angela,69795425,1,Jl. Ancol Selatan No. 45 RT 003/007,Sunter Agung,16103,,0,0,,,,,2
TK Kasih Angela,20110690,1,JL. ANCOL SELATAN NO. 45 RT.003/07,Sunter Agung,16103,,0,0,,,,,2
TK Kasih Anugerah,20112496,1,JL.PELOPOR BLOK P.1 NO.10,Tegal Alur,16208,11820,-6.123295,106.714046,021-5550859,2155951921,kasihanugerah@yahoo.co.id,,2
TK Kasih Bagi Bangsa,69916110,1,Jl. Bangun Nusa Raya Blok H No.1 B,Cengkareng Timur,16207,11730,0,0,021-5453989,5453161,kasihbagibangsa@yahoo.com,,2
TK Kasih Bunda,20111019,1,JL. TAMAN KOTA BLOK E5,Kembangan Utara,16201,11610,-6.160609,106.747456,021-5810062,,tkasbun45@gmail.com,,2
TK Kasih Bunda Dewi,20110451,1,JL. BATU TULIS X NO. 12,Kelurahan Kebon Kelapa,16008,,0,0,,,,,2
TK Kasih Bunda Taman Sari,20111018,1,Jl. Taman Sari 8/68-70,Maphar,16206,11150,-6.2086,106.7245,021-6496804,,tkkasihbundatamansari@yahoo.com,,2
TK Kasih Ibu,69830924,1,Komplek PLN Senayan Jl. Asia Afrika,Grogol Utara,16305,12210,0,0,021-5727229,2157990207,kasih.ibu@gmail.com,http://tkkasihibu.com,2
TK Kasih Ibu,69789165,1,JL. ASIA AFRIKA RT.007/07,Grogol Utara,16305,,0,0,,,,,2
TK Kasih Ibu,20111543,1,JL. KOMP. PLN SENAYAN,Grogol Utara,16305,,0,0,,,,,2
TK Kasih Immanuel,20110691,1,JL. KEMPUNG SAWAH BLOK B NO.16,Semper Timur,16106,,0,0,,,,,2
TK Kasih Karunia,20111020,1,JL. TAMAN SURYA III BLOK H7/36,Pegadungan,16208,11830,-6.131797,106.712399,021-5444081,2155956640,tk.kasihkarunia@gmail.com,,2
TK Kasih Setia,20111021,1,JL. FAJAR BARU SELATAN NO. 351,Cengkareng Timur,16207,,0,0,,,,,2
TK Katherina,20112026,1,JL. CIPINANG BESAR SEL. NO. 20,Cipinang Besar Selatan,16406,,0,0,,,,,2
TK Katolik Diakonia,69911459,1,JL. Pluit Utara Raya No.2 Penjaringan Jakarta Utara,Pluit,16101,14450,-6.111987,106.789566,021-6693742,2166603967,sekolah.katolik@gmail.com,http://diakonia-jkt.sch.id/,2
TK Katolik Nusa Melati,20109615,1,JL. HANKAM NO.6 CIPAYUNG,Cipayung,16403,13840,-6.302331,106.921864,021-8444422,,nusamelati@yahoo.com,http://nusamelati.blogspot.com,2
TK Katolik Nusa Melati,20112027,1,Jl. Raya Hankam,Cipayung,16403,,0,0,,,,,2
TK Katolik Sang Timur,20109852,1,JL. EDELWEIS I BLOK.E 1 NO.9 PERUMAHAN TAMAN MODERN,,16408,13950,0,0,021-4613928,,tk_sangtickg@yahoo.co.id,,2
TK Katolik Santo Paulus,69795473,1,Jl. Danau Sunter 13 Blok E,Sunter Agung,16103,,0,0,,,,,2
TK Kayu Putih,20112028,1,JL. KAYU PUTIH UTARA 2,Pulo Gadung,16409,,0,0,,,,,2
TK Kayu Putih,20109670,1,JL.KAYU PUTIH UTARA 2,Kayuputih,16409,13260,-6.181286,106.895369,,,,,2
TK Kebon Baru,69857146,1,JL. KEBON BARU BLOK X GANG IV NO 25,Semper Barat,16106,14130,0,0,021-4407177,,tkkebonbaru01@gmail.com,,2
TK Kebon Baru,69795571,1,Jl. Kebon Baru Blok X Gg. IV / 25,Semper Barat,16106,,0,0,,,,,2
TK Kebon Baru,20110692,1,JL. BLOK X GG. IV/25,Semper Barat,16106,,0,0,,,,,2
TK Kebon Melati,20110452,1,JL. MARTAPURA NO. I A,Kelurahan Kebon Melati,16001,10230,0,0,021-3192330,,tk.kebun.melati@gmail.com,,2
TK Kebon Sirih,20110453,1,JL. KEBON SIRIH BARAT DALAM  NO. 50,Kelurahan Kebon Sirih,16002,,0,0,,,,,2
TK Kebun,20111022,1,JL. PETA SELATAN,Kalideres,16208,,0,0,,,,,2
TK Keenkid,20111544,1,JL. CIPUTAT RAYA,Kebayoran Lama Utara,16305,,0,0,,,,,2
TK Keenkids,69830879,1,CIPUTAT RAYA NO. 2,Pondok Pinang,16305,12240,0,0,021-7294170,,,,2
TK Keeykids,69830904,1,JL. CIPUTAT RAYA NO. 2,Kebayoran Lama Utara,16305,,0,0,,,,,2
TK Kejora,69857085,1,"Pelepah Indah I, LB 4 no. 26",Kelapa Gading Timur,16105,14240,-6.154326,106.908592,021-4529967,,kejora.klpgd@yahoo.co.id,,2
TK Kejora,20110693,1,JL. PELEPAH INDAH I LB4/26,Kelapa Gading Barat,16105,,0,0,,,,,2
TK Kejora,69795407,1,Jl. Pelepah Indah I LB 4 No.26,Kelapa Gading Timur,16105,,0,0,,,,,2
TK Kelapa Gading,20111023,1,JL. KAMPUNG SALO NO. 58,Kembangan Utara,16201,11610,-6.163212,106.753249,021-5809572,,d.aditio@gmail.com,,2
TK Kelapa Gading Hi,20110694,1,JL. KOMP. PTHII,Kelapa Gading Timur,16105,,0,0,,,,,2
TK Kelapa Gading Hi,69795449,1,Komp. PT HII,Kelapa Gading Timur,16105,,0,0,,,,,2
TK Kemala Bayangkari,20111545,1,JL. WIJAYA I KOMP. PTIK,Melawai,16306,,0,0,,,,,2
TK Kemala Bhayangkara 14,20112029,1,JL. RAYA BOGOR KM 21,Ciracas,16402,,0,0,,,,,2
TK Kemala Bhayangkari 01,69820307,1,Jl. Cideng Barat Dalam 12,Cideng,16008,10150,0,0,,,,,2
TK Kemala Bhayangkari 13,20110218,1,JL. OTISTA 18 ASRAMA POLRI BIDARACINA,Bidaracina,16406,,-6.226833,106.867005,,,,,2
TK Kemala Bhayangkari 13,20112030,1,Jl. Otista No. 18,Bidara Cina,16406,,0,0,,,,,2
TK Kemala Bhayangkari 14,20110142,1,JL. RAYA BOGOR KM. 21 POLSEK CIRACAS,Ciracas,16402,13830,0,0,0856-95774316,,tk20110142@yahoo.co.id,,2
TK Kemala Bhayangkari 15,20109730,1,JL.RAYA BEKASI KM.18,Jatinegara Kaum,16409,13250,-6.1892,106.9058,021-47867912,,,,2
TK Kemala Bhayangkari 15,20112031,1,JL.RAYA BEKASI ASRAMA POLRI PULOGAD,Jatinegara Kaum,16409,,0,0,,,,,2
TK Kemala Bhayangkari 16,20109719,1,JL.CIPINANG BARU RAYA,,16409,13490,0,0,021-85175891,,,,2
TK Kemala Bhayangkari 16,20112032,1,JL. CIPINANG BARU RAYA,Cipinang,16409,,0,0,,,,,2
TK Kemala Bhayangkari 17,20109720,1,ASRAMA  BRIMOB CIPINANG BAWAH,Cipinang,16409,13240,0,0,,,,,2
TK Kemala Bhayangkari 17,20112033,1,JL. ASRAMA BRIMOB,Cipinang,16409,,0,0,,,,,2
TK Kemala Bhayangkari 18,69832185,1,Ks. Tubun III No.2 Rt. 013/06,Slipi,16203,11480,-6.191006,106.801961,,,,,2
TK Kemala Bhayangkari 19,69830786,1,ASRAMA BRIMOB PEJATEN BARAT,Pejaten Barat,16302,,-6.271271,106.845635,,,,,2
TK Kemala Bhayangkari 19,20111546,1,JL. RAYA PASAR MINGGU ASRAMA BRIMOB,Pejaten Barat,16302,,0,0,,,,,2
TK Kemala Bhayangkari 2,69917502,1,JL. SUTAN SYAHRIR NO.1,Menteng,16002,10350,0,0,0815-9998044,,udienkushartini@gmail.com,,2
TK Kemala Bhayangkari 20,20112034,1,JL. ASRAMA BRIMOB,Cipinang,16409,,0,0,,,,,2
TK Kemala Bhayangkari 20,20109722,1,ASRAMAH BRIMOB CIP ATS,,16409,13240,0,0,,,,,2
TK Kemala Bhayangkari 23,69830992,1,JL. CIKOKO TIMUR 2,Cikoko,16308,12770,0,0,021-79199547,,,,2
TK Kemala Bhayangkari 23,69789252,1,JL.MT.HARYONO KOMP.KORLANTAS,Cikoko,16308,,0,0,,,,,2
TK Kemala Bhayangkari 23,20111547,1,JL. MT. HARYONO,Cikoko,16308,,0,0,,,,,2
TK Kemala Bhayangkari 24,69857128,1,ARJUNA VII BLOK F RT.008 RW.09,Semper Timur,16106,14130,-6.105,106.9335,021-4401832,,TK.bhayangkari24@gmail.com,,2
TK Kemala Bhayangkari 24,69795622,1,Semper Timur,Semper Timur,16106,,0,0,,,,,2
TK Kemala Bhayangkari 24,20110695,1,JL. ARJUNA VII,Semper Timur,16106,,0,0,,,,,2
TK Kemala Bhayangkari 25,69830885,1,JL. CIPUTAT RAYA NO. 40,Pondok Pinang,16305,,-6.28757,106.770612,,,,,2
TK Kemala Bhayangkari 26,20109577,1,KOMP. POLRI MUNJUL RT.003/03,,16403,13850,0,0,0819-32696348,,widiatiwiwi07@gmail.com,,2
TK Kemala Bhayangkari 26,20112035,1,Jl. Komp. Polri Munjul,Manjul,16403,,0,0,,,,,2
TK Kemala Bhayangkari 27,20111548,1,JL. B. KOMP POLRI RAGUNAN,Ragunan,16302,,0,0,,,,,2
TK Kemala Bhayangkari 29,20111549,1,JL. MT. HARIYANA KOMP. POLRI,Pengadegan,16308,,0,0,,,,,2
