Column Name (CSV),Wikidata Property (id),Wikidata Property (label),Data Type,Table Name,url
dokter gigi, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
dokter sub spesialis, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
dokter umum, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
dosen, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
drg spesialis anak, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
drg spesialis bedah mulut, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
drg spesialis gigi tiruan, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
drg spesialis karang gigi, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
drg spesialis karang lainnya, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
drg spesialis konservasi, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
drg spesialis penyakit mulut, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
drg spesialis periodonsia, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
drg spesialis radiologi, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
eeg, ,,String,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
ekg, ,,String,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
elektromedis, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
email, P968,surel,Url,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
entomologi, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
epidemiologi, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
fax, P2900,nomor faks,String,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
fisioterapi, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
gdr, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
hukum, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
humas, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
igd, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
informasi kesehatan, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
inkubator, ,,String,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
jamkes, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
jenis rs,P31,adalah,WikibaseItem,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
kelas i, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
kelas ii, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
kelas iii, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
kelas rs, ,,WikibaseItem,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
kesja, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
kesling, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
kesmas lain, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
kode rs, ,,String,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
kodepos, P281,kode pos,String,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
layanan unggulan, ,,String,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
lokasi rs, P131,terletak di wilayah administrasi,WikibaseItem,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
los, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
luas bangunan, P2046,luas wilayah,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
luas keseluruhan, P2046,luas wilayah,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
luas tanah, P2046,luas wilayah,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
masa berlaku izin, ,,String,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
meja operasi, ,,String,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
mesin anestesi, ,,String,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
mikrobiologi, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
mri, ,,String,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
ndr, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
ners, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
no surat izin, ,,String,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
nutrisionis, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
ortotik, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
pekarya, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
pelaporan, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
penerbit izin, ,,WikibaseItem,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
pentahapan akreditasi, ,,WikibaseItem,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
penyelenggara rs, P1037,manajer/direktur,WikibaseItem,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
perawat anak, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
perawat bedah, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
perawat gigi, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
perawat kes jiwa, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
perawat komunitas, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
perawat lainnya, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
perawat maternitas, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
perencanaan, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
perpustakaan, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
progkes, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
promkes, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
psikologi, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
radiografer, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
radioterapis, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
rawat inap, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
rawat jalan, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
refraksionis, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
rekam medik, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
reproduksi, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
ruang hcu, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
ruang iccu, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
ruang icu, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
ruang nicu, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
ruang picu, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
sanitasi, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
sifat izin, ,,String,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
simrs, ,,String,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
speisalis bedah anak, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
speisalis bedah jantung, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
speisalis bedah plastik, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
speisalis bedah syaraf, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
speisalis bedah tulang, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
speisalis forensik, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
speisalis jiwa psikiatri, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
speisalis kulit kelamin, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
speisalis lainnya, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
speisalis mata, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
speisalis ofthalmologi, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
speisalis okupasi, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
speisalis orthopedi, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
speisalis paru, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
speisalis patologi anatomi, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
speisalis patologi klinik, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
speisalis psikiatri, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
speisalis saraf, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
speisalis tht, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
speisalis urologi, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
spesalis anestesi, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
spesialis anak, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
spesialis bedah, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
spesialis jantung, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
spesialis kandungan, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
spesialis penyakit dalam, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
spesialis radiologi, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
spesialis rekam medik, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
status akreditasi, ,,WikibaseItem,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
status penyelenggara, ,,String,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
swasta, ,,WikibaseItem,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
tanggal surat izin, P571,sejak,Time,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
tanggal update, P1326,tanggal termutakhir,Time,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
teknisi gigi, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
teknisi kardiovaskular, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
teknisi transfusi darah, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
teknologi informasi, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
telepon, P1329,nomor telepon,String,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
telepon humas, P1329,nomor telepon,String,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
tenaga non kes, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
terapi okupasi, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
terapi wicara, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
tgl registrasi, ,,Time,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
toi, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
tt bayi lahir, ,,WikibaseItem,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
tt igd, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
tt kamar bersalin, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
tt ruang isolasi, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
tt ruang operasi, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
usg, ,,String,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
ventilator, ,,String,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
vip, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
vvip, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
website, P856,laman resmi,Url,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
widyaiswara, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
x ray, ,,String,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
luas bangunan, P2046,luas wilayah,Quantity,Data-Sarana-Fasilitas-Olahraga-Kota-Administrasi-Jakarta-Barat-edited.csv,http://data.jakarta.go.id/dataset/b7d7fb82-9205-43c4-a85b-673b014ca2eb/resource/a4c89025-0f77-4601-bc46-473ae0cdea48/download/Data-Sarana-Fasilitas-Olahraga-Kota-Administrasi-Jakarta-Barat-edited.csv
luas tanah, P2046,luas wilayah,Quantity,Data-Sarana-Fasilitas-Olahraga-Kota-Administrasi-Jakarta-Barat-edited.csv.1,Data-Sarana-Fasilitas-Olahraga-Kota-Administrasi-Jakarta-Barat-edited.csv.1
tahun, P585,waktu,Time,data-sarana-yankes-DKI-Jakarta-Tahun-2016-2017.csv,http://data.jakarta.go.id/dataset/c30ac5ed-c07d-405e-8860-f83686232c99/resource/0dd47dfe-11e7-4f7a-99dc-79f319c05114/download/data-sarana-yankes-DKI-Jakarta-Tahun-2016-2017.csv
tahun, P585,waktu,Time,data-sarana-yankes-DKI-Jakarta-Tahun-2016-2017.csv,http://data.jakarta.go.id/dataset/c30ac5ed-c07d-405e-8860-f83686232c99/resource/0dd47dfe-11e7-4f7a-99dc-79f319c05114/download/data-sarana-yankes-DKI-Jakarta-Tahun-2016-2017.csv
alamat sekolah, P6375,alamat,String,data-sekolah-2018.csv,http://data.jakarta.go.id/dataset/data-alamat-sekolah
alamat sekolah, P6375,alamat,String,data-sekolah-2018.csv,http://data.jakarta.go.id/dataset/data-alamat-sekolah
